id,c_source,gene,gr,lag,upper_asymptote
60510,Acetate,b0456,0.169938928,107.2106983,58.84528884
60853,Acetate,b0856,0.151584053,118.5680184,62.34813993
63610,Acetate,b4116,0.14714382,108.1019871,60.57866971
61203,Acetate,b1266,0.145713934,124.5353536,61.87469383
63912,Acetate,b4480,0.14530946,112.8400889,58.13442908
60989,Acetate,b1010,0.144248789,123.1716243,65.35390609
62734,Acetate,b3014,0.143988203,109.6050197,60.98339772
62307,Acetate,b2504,0.14328685,116.5938409,64.3678514
61401,Acetate,b1490,0.143107002,126.3251301,58.87893576
60263,Acetate,b0143,0.142995173,104.0761278,62.45868537
61181,Acetate,b1244,0.142204413,114.9837747,65.09919114
60198,Acetate,b0051,0.14181728,112.5891245,64.47667897
60194,Acetate,b0046,0.14122345,119.2031749,54.59894308
63810,Acetate,b4352,0.141168533,119.400125,57.80287738
61232,Acetate,b1298,0.141037883,118.6344634,64.02163408
63624,Acetate,b4130,0.140065246,124.7125907,65.8894756
63187,Acetate,b3590,0.140033137,122.562993,68.05636917
63458,Acetate,b3928,0.139917852,125.4756078,62.97460919
61527,Acetate,b1624,0.139774333,128.9053144,65.58293606
61944,Acetate,b2096,0.139614041,126.7489257,64.37150812
62883,Acetate,b3205,0.139507837,126.2126107,66.25631891
61938,Acetate,b2085,0.139365266,134.9887698,73.46222461
62732,Acetate,b3012,0.139226931,125.9196774,67.76285986
60871,Acetate,b0874,0.139214633,122.2679017,69.08289792
63592,Acetate,b4097,0.139017649,115.1203167,68.5087301
61248,Acetate,b1314,0.138960568,114.2819348,64.20589786
60573,Acetate,b0528,0.138628454,129.2343994,65.67252061
63452,Acetate,b3922,0.137810384,129.5956943,68.24390582
63741,Acetate,b4269,0.137775969,120.4166213,63.16274222
62923,Acetate,b3258,0.13765016,132.355774,69.7109351
60443,Acetate,b0380,0.137015435,113.3133524,67.6021518
62937,Acetate,b3279,0.136998273,114.7731156,67.68554749
63563,Acetate,b4066,0.136615007,114.2726303,67.60890151
62390,Acetate,b2604,0.135769932,125.9251387,65.48284916
60488,Acetate,b0433,0.135695315,124.6404685,70.51627502
63465,Acetate,b3936,0.134960517,127.6163968,70.11889371
63251,Acetate,b3665,0.134831364,108.5294615,70.59723602
60188,Acetate,b0040,0.134568433,114.6943151,67.0849322
63564,Acetate,b4067,0.132086308,122.4986402,69.07412987
60550,Acetate,b0499,0.132030916,128.8997376,71.26235353
60227,Acetate,b0104,0.131359776,126.193019,71.99664315
62901,Acetate,b3225,0.131001262,128.2164915,66.5166792
